Orientation Sensor Raw Data Test

Current Temperature: 25 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
accelerometer_x	accelerometer_y	accelerometer_z	magnetometer_x	magnetometer_y	magnetometer_z	euler_x	euler_y	euler_z	linearAcceleration_x	linearAcceleration_y	linearAcceleration_z	gravity_x	gravity_y	gravity_z	quaternion_w	quaternion_y	quaternion_x	quaternion_z	calibration_system	calibration_gyro	calibration_accel	calibration_mag
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0000	0.0000	0.0000	0.0000	0	0	0	0
-8.93	-1.38	5.03	-15.06	10.00	4.00	357.38	43.13	32.56	-15.63	2.46	-0.99	6.64	-3.84	6.09	0.9047	-0.3680	-0.2144	0.0023	0	0	0	0
-11.16	-1.41	0.66	-18.19	7.69	4.00	12.00	30.31	24.06	-15.88	2.17	-7.17	4.95	-3.45	7.72	0.9438	-0.2265	-0.2132	-0.1113	0	0	0	0
-9.05	-1.64	-0.16	-18.75	5.56	-0.88	16.94	15.56	19.50	-11.50	1.66	-9.15	2.64	-3.16	8.89	0.9705	-0.1012	-0.1666	-0.1420	0	0	0	0
-8.93	-1.62	-1.80	-17.87	5.69	-6.56	16.62	8.06	15.50	-10.31	0.97	-11.15	1.32	-2.55	9.37	0.9799	-0.0431	-0.1339	-0.1416	0	0	0	0
-8.37	-2.07	-2.18	-16.56	5.06	-9.50	13.94	2.63	11.56	-8.75	-0.14	-11.91	0.45	-1.96	9.59	0.9875	-0.0078	-0.1010	-0.1205	0	0	0	0
-8.73	-2.09	-2.45	-15.50	6.25	-10.69	0.75	-68.06	139.94	0.35	0.26	0.34	-9.09	-2.35	-2.80	0.5967	0.7786	-0.1940	-0.0045	0	0	0	0
-8.84	-2.71	-2.53	-14.88	7.00	-10.88	0.19	-68.94	140.00	0.30	-0.45	0.15	-9.15	-2.25	-2.69	0.6051	0.7731	-0.1899	0.0005	0	0	0	1
-9.15	-2.22	-2.28	-15.19	7.00	-11.00	356.19	-71.81	138.19	-0.01	-0.12	-0.17	-9.33	-2.01	-2.24	0.6239	0.7565	-0.1941	0.0279	0	0	0	1
-9.39	-1.77	-2.39	-15.19	8.75	-9.06	351.44	-74.75	134.75	0.06	0.05	-0.57	-9.46	-1.82	-1.81	0.6385	0.7407	-0.2028	0.0505	0	0	0	1
-9.54	-2.04	-2.22	-16.69	8.06	-8.69	351.00	-74.31	134.81	-0.14	-0.12	-0.26	-9.44	-1.87	-1.86	0.6320	0.7444	-0.2102	0.0479	0	0	0	1
-9.42	-2.52	-2.42	-16.69	7.56	-8.25	352.69	-73.00	137.94	-0.05	-0.61	-0.29	-9.37	-1.91	-2.12	0.6238	0.7541	-0.2021	0.0371	0	0	1	1
-8.51	-2.22	-2.08	-15.50	7.19	-9.75	355.38	-72.81	138.06	0.86	-0.34	0.10	-9.36	-1.93	-2.15	0.6240	0.7586	-0.1861	0.0226	0	0	1	1
-9.82	-0.30	-1.99	-15.50	7.50	-10.25	355.38	-73.69	138.94	-0.40	1.50	0.08	-9.41	-1.80	-2.07	0.6354	0.7511	-0.1765	0.0320	0	0	1	1
-9.81	0.47	0.45	-18.06	8.19	-6.75	343.88	-76.69	35.50	-0.39	0.71	-0.18	-9.54	-1.31	1.83	0.7841	0.5838	-0.1693	0.1250	0	0	1	1
-7.19	-2.37	3.09	-19.00	10.00	2.69	338.69	-54.25	12.88	0.57	-0.62	-1.51	-7.91	-1.31	5.63	0.8747	0.4293	-0.1575	0.1605	0	0	1	1
