Orientation Sensor Raw Data Test

Current Temperature: 26 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
accelerometer_x	accelerometer_y	accelerometer_z	magnetometer_x	magnetometer_y	magnetometer_z	euler_x	euler_y	euler_z	linearAcceleration_x	linearAcceleration_y	linearAcceleration_z	gravity_x	gravity_y	gravity_z	quaternion_w	quaternion_y	quaternion_x	quaternion_z	calibration_system	calibration_gyro	calibration_accel	calibration_mag
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0000	0.0000	0.0000	0.0000	0	0	0	0
-3.82	-9.67	0.29	-20.50	-8.69	1.19	34.63	65.25	-38.13	-12.61	-12.41	-3.02	8.94	2.57	3.08	0.7653	-0.5972	-0.0099	-0.2397	0	0	0	0
-1.66	-10.96	3.95	-21.19	-8.00	6.56	45.19	61.69	-47.44	-10.30	-14.38	0.81	8.63	3.41	3.13	0.7551	-0.5728	-0.0109	-0.3188	0	0	0	0
-1.11	-7.98	2.24	-21.00	-8.56	1.75	44.81	53.44	-37.69	-8.99	-11.55	-2.37	7.77	3.58	4.77	0.7999	-0.4913	0.0167	-0.3441	0	0	0	1
-2.73	-11.31	-5.78	-21.19	-9.19	-3.06	36.50	45.25	-7.06	-9.70	-11.05	-11.94	6.97	0.85	6.84	0.8896	-0.3700	-0.0846	-0.2541	0	0	0	1
-5.37	-1.28	0.05	-23.19	-0.75	-7.69	19.75	41.44	4.13	-11.86	-0.75	-7.27	6.47	-0.54	7.34	0.9205	-0.3405	-0.0912	-0.1683	0	0	0	1
-4.58	-12.10	-1.80	-21.87	0.00	-8.50	23.25	35.44	13.31	-10.56	-9.81	-9.97	5.69	-1.84	7.77	0.9333	-0.2653	-0.1720	-0.1704	0	0	0	1
-4.48	10.22	-8.79	-19.69	5.25	-10.06	8.13	25.06	12.88	-8.64	12.20	-17.45	3.97	-1.80	8.78	0.9730	-0.1932	-0.0939	-0.0850	0	0	0	1
-19.17	-1.44	-13.36	-17.19	0.00	-14.19	39.44	2.13	5.69	-18.51	-2.82	-21.46	0.36	-0.97	9.75	0.9277	-0.0162	-0.0737	-0.3657	0	0	0	1
-21.45	-5.23	-6.55	-12.88	-3.00	-18.06	4.00	4.50	3.31	-21.99	-17.71	-37.94	0.73	-1.39	9.67	0.9615	-0.0530	-0.2597	0.0727	0	0	0	2
