Orientation Sensor Raw Data Test

Current Temperature: 28 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
accelerometer_x	accelerometer_y	accelerometer_z	magnetometer_x	magnetometer_y	magnetometer_z	euler_x	euler_y	euler_z	linearAcceleration_x	linearAcceleration_y	linearAcceleration_z	gravity_x	gravity_y	gravity_z	quaternion_w	quaternion_y	quaternion_x	quaternion_z	calibration_system	calibration_gyro	calibration_accel	calibration_mag
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0000	0.0000	0.0000	0.0000	0	0	0	0
1.57	-0.77	-8.76	-6.88	-11.75	-6.69	251.19	0.69	-178.56	1.12	-1.28	0.92	0.12	0.24	-9.80	0.0080	-0.5779	0.8160	-0.0010	0	0	0	0
0.71	-2.26	-9.76	-10.50	-11.50	-7.50	247.31	1.56	177.63	0.57	-1.71	-0.20	0.27	-0.40	-9.79	-0.0118	-0.5536	0.8322	0.0283	0	0	0	0
0.64	-2.42	-9.20	-13.69	-11.75	-10.19	247.56	1.19	173.50	0.44	-1.32	0.53	0.16	-1.15	-9.73	-0.0522	-0.5592	0.8264	0.0402	0	0	0	0
-1.18	-2.85	-10.10	-14.75	-11.50	-9.69	250.69	-4.13	165.06	-0.98	-0.54	-0.19	-0.71	-2.51	-9.45	-0.1443	-0.5753	0.8038	0.0466	0	0	0	0
5.72	-6.91	-8.20	-15.00	-14.69	-9.19	255.56	-8.63	155.19	4.05	-0.86	3.09	-1.47	-4.06	-8.80	-0.2174	-0.5979	0.7682	0.0718	0	0	0	1
2.08	-1.79	-8.60	-15.06	-13.06	-8.75	261.44	-6.88	155.31	3.26	2.26	0.23	-1.18	-4.06	-8.84	-0.1863	-0.6606	0.7206	0.0983	0	0	0	1
-4.08	-1.76	-11.45	-14.69	-2.75	-13.69	305.88	-0.69	160.00	-3.95	1.58	-2.35	-0.12	-3.34	-9.21	-0.0729	-0.9091	0.3726	0.1713	0	0	0	1
-7.85	-1.74	-6.58	-7.69	6.50	-18.25	354.81	-7.75	147.88	-6.52	3.41	1.64	-1.48	-5.25	-8.14	-0.0930	-0.9523	-0.0052	0.2907	2	0	0	1
-17.14	-9.45	-2.70	-4.06	3.88	-21.37	139.56	-13.31	136.50	-13.88	-4.18	3.69	-2.26	-6.56	-6.92	-0.1400	-0.9262	0.0345	0.3483	2	0	0	1
-1.67	-0.43	-9.03	-8.38	6.00	-19.19	2.63	-40.00	159.81	4.29	2.37	-1.34	-6.30	-2.58	-7.04	-0.3823	-0.9178	-0.0311	0.1023	3	0	0	1
-21.47	-6.01	0.20	-7.38	21.00	-3.69	305.63	-49.44	-112.44	-14.02	-11.90	2.64	-7.45	5.89	-2.43	-0.5560	-0.7377	-0.1768	-0.3397	3	0	0	3
-0.62	1.24	-4.96	2.88	22.06	7.38	306.94	-43.13	-57.94	6.08	-4.81	-8.75	-6.70	6.06	3.79	-0.7864	-0.4903	-0.1456	-0.3464	3	0	0	3
9.62	13.03	39.22	-0.06	21.00	9.38	333.13	-34.56	-23.62	20.57	18.95	31.56	-5.61	2.78	7.54	-0.9185	-0.3344	-0.0444	-0.2063	3	0	0	3
