Orientation Sensor Raw Data Test

Current Temperature: 27 C

Calibration status values: 0=uncalibrated, 3=fully calibrated
accelerometer_x	accelerometer_y	accelerometer_z	magnetometer_x	magnetometer_y	magnetometer_z	euler_x	euler_y	euler_z	linearAcceleration_x	linearAcceleration_y	linearAcceleration_z	gravity_x	gravity_y	gravity_z	quaternion_w	quaternion_y	quaternion_x	quaternion_z	calibration_system	calibration_gyro	calibration_accel	calibration_mag
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.0000	0.0000	0.0000	0.0000	0	0	0	0
-8.49	2.03	-5.23	-5.88	11.88	-17.56	14.44	25.62	26.87	-12.68	5.71	-12.38	4.24	-3.99	7.88	0.9406	-0.1997	-0.2473	-0.1195	0	0	0	1
-7.51	3.94	-0.46	-9.56	9.06	-17.69	14.00	31.06	27.50	-12.57	7.82	-7.91	5.06	-3.88	7.44	0.9277	-0.2562	-0.2451	-0.1169	0	0	0	1
-10.39	2.95	2.74	-13.00	5.38	-18.69	17.37	33.56	24.37	-15.81	6.33	-4.69	5.42	-3.37	7.44	0.9319	-0.2571	-0.2071	-0.1498	0	0	0	1
-7.98	0.75	-2.69	-11.88	2.19	-22.50	22.62	23.81	5.75	-11.96	1.85	-12.02	3.96	-0.90	8.92	0.9606	-0.1848	-0.0746	-0.1940	0	0	0	1
-8.89	-1.14	-3.84	-8.88	-1.00	-25.19	24.81	14.13	-3.94	-11.28	-1.80	-13.32	2.39	0.65	9.48	0.9692	-0.1144	0.0200	-0.2172	0	0	0	1
-7.76	-1.56	-7.25	-5.38	-1.25	-24.75	26.25	2.94	-1.75	-8.27	-1.89	-17.52	0.44	0.23	9.79	0.9741	-0.0181	0.0036	-0.2253	0	0	0	1
-6.05	-0.03	-4.69	-2.69	0.37	-23.69	24.44	0.00	-3.06	-6.09	-0.32	-14.68	0.00	0.52	9.79	0.9769	-0.0009	0.0295	-0.2115	0	0	0	1
-5.31	-1.92	-5.13	0.25	-0.69	-23.87	26.12	-12.38	-6.38	-2.99	-3.12	-14.51	-2.10	1.06	9.51	0.9615	0.1200	0.0995	-0.2264	0	0	0	1
-3.33	-3.05	-7.97	10.25	-3.88	-21.19	27.81	-32.31	-17.00	1.91	-5.47	-15.89	-5.24	2.42	7.92	0.9116	0.2672	0.2147	-0.2267	0	0	0	1
1.21	-3.65	-12.17	14.38	-4.69	-17.25	28.25	-42.56	-21.75	7.77	-6.19	-18.95	-6.61	2.67	6.73	0.8909	0.3122	0.2340	-0.2324	0	0	0	1
0.55	-3.30	-10.74	14.06	-4.25	-18.87	32.31	-37.13	-17.56	6.47	-5.66	-18.19	-5.92	2.35	7.45	0.9030	0.2621	0.2068	-0.2703	0	0	0	1
-1.56	-4.63	-10.36	10.38	-3.56	-20.50	36.88	-26.06	-11.50	2.75	-6.38	-18.98	-4.18	1.70	8.70	0.9260	0.1644	0.1369	-0.3109	0	0	0	1
-4.57	-2.29	-7.04	5.00	1.75	-21.19	35.69	-15.56	3.06	-1.96	-1.59	-16.35	-2.63	-0.51	9.43	0.9435	0.1416	-0.0067	-0.2993	0	0	0	1
-4.61	0.90	-8.92	3.00	6.38	-20.75	31.81	-12.81	10.81	-2.43	2.70	-18.31	-2.17	-1.80	9.38	0.9552	0.1155	-0.0526	-0.2674	0	0	0	1
-6.52	-0.33	-4.31	0.75	3.69	-21.75	30.00	-4.31	-5.38	-5.78	-1.24	-14.05	-0.72	1.03	9.72	0.9633	0.0201	0.0679	-0.2588	0	0	0	1
-6.44	-2.77	-5.99	0.37	0.69	-23.69	30.44	-3.81	-7.38	-5.73	-3.90	-15.12	-0.65	1.26	9.70	0.9628	0.0119	0.0740	-0.2595	0	0	0	1
-5.87	-0.89	-5.36	1.69	-0.56	-23.37	27.37	-6.63	-10.38	-4.67	-2.86	-15.48	-1.13	1.75	9.58	0.9651	0.0508	0.1070	-0.2336	0	0	0	1
-5.85	-2.45	-8.75	5.00	-0.75	-23.00	26.62	-15.38	-10.88	-3.25	-4.24	-18.03	-2.60	1.78	9.28	0.9601	0.1119	0.1231	-0.2247	0	0	0	1
-4.90	-0.47	-10.16	4.56	-0.50	-22.50	24.69	-10.19	-5.00	-3.28	-1.19	-18.81	-1.74	0.85	9.61	0.9741	0.0543	0.0480	-0.2144	0	0	0	1
-7.02	-1.22	-8.01	-1.50	4.00	-22.50	24.19	5.44	7.94	-7.95	0.12	-17.67	0.93	-1.35	9.66	0.9734	-0.0548	-0.0963	-0.2005	0	0	0	1
-8.71	-7.97	-0.24	-4.06	9.50	-19.75	17.19	21.81	32.31	-12.36	-3.10	-7.93	3.65	-4.87	7.68	0.9172	-0.1707	-0.3410	-0.1157	0	0	0	2
5.03	28.97	-10.79	2.19	17.06	-13.25	333.88	-20.50	38.00	3.56	37.86	-19.16	-3.44	-5.65	7.23	0.9091	0.1718	-0.3063	0.2241	0	0	0	2
-39.22	4.89	-19.44	13.69	13.75	-12.00	345.94	-20.50	51.44	-35.78	12.08	-25.16	-3.44	-7.18	5.72	0.8433	0.0296	-0.5118	0.1609	0	0	0	3
-20.50	-7.79	19.05	8.69	21.00	-4.50	331.75	-11.06	69.12	-18.61	1.20	15.62	-1.88	-8.99	3.42	0.8490	0.0326	-0.4843	0.2086	0	0	0	3
22.42	6.03	-6.00	1.75	9.38	-23.69	17.56	18.69	-19.31	26.76	5.96	-15.25	3.15	3.07	8.76	0.9509	-0.1871	0.1785	-0.1703	0	0	0	3
-18.26	14.75	-25.98	-4.00	-8.56	-22.00	47.44	7.94	-27.94	-9.97	3.47	-38.13	1.35	4.55	8.57	0.8991	-0.1874	0.0876	-0.3857	0	0	0	3
-39.16	-39.14	39.22	-12.50	3.88	-19.56	67.56	24.81	12.31	-43.28	-37.23	30.52	4.11	-1.90	8.69	0.8765	-0.0441	-0.1402	-0.4585	0	0	0	3
7.33	-11.26	-27.52	-11.19	15.50	-11.56	5.00	26.50	60.00	2.95	-3.66	-31.91	4.37	-7.60	4.38	0.7949	-0.1927	-0.5745	0.0311	0	0	0	3
13.01	-26.39	-39.22	18.75	14.19	-5.25	292.06	-49.19	57.81	22.34	-14.86	-42.63	-7.42	-5.42	3.40	0.6340	0.1618	-0.5583	0.5099	0	0	0	3
37.54	-34.90	25.65	21.87	5.50	-5.25	257.00	-75.44	70.06	37.81	-19.54	21.78	-9.49	-2.31	0.84	0.3729	0.3445	-0.6553	0.5593	0	0	0	3
-4.07	12.87	13.69	15.88	1.69	16.06	310.13	-35.06	130.69	1.56	18.95	18.92	-5.63	-6.07	-5.23	0.4590	0.2557	-0.8286	0.1932	0	0	0	3
-8.79	5.45	12.01	12.88	12.00	12.56	324.75	-28.62	111.50	-0.18	13.40	2.46	-4.57	-8.10	-3.08	0.5734	0.2020	-0.7810	0.1427	0	0	0	3
-8.25	12.17	15.54	13.56	13.19	10.75	319.19	-46.69	111.69	-1.11	18.42	18.02	-7.13	-6.25	-2.48	0.5677	0.4016	-0.6765	0.2424	0	0	0	3
11.49	3.28	0.63	21.50	3.75	8.75	300.81	-77.62	110.62	20.16	5.53	1.29	-9.58	-1.95	-0.73	0.6176	0.5646	-0.4451	0.3190	0	0	0	3
12.54	5.62	-7.84	22.19	7.19	3.50	340.00	-53.63	62.31	13.99	9.81	-10.61	-7.89	-5.14	2.69	0.7999	0.4192	-0.4144	0.1130	0	0	0	3
0.09	-5.33	-11.03	13.38	17.56	0.75	328.56	-38.00	74.75	2.32	3.23	-14.38	-6.04	-7.45	2.02	0.7349	0.2561	-0.5620	0.2803	0	0	0	3
0.21	0.47	-3.57	19.87	11.06	-3.50	296.00	-46.06	39.56	6.73	5.30	-10.37	-7.06	-4.33	5.23	0.7731	0.1970	-0.4040	0.4474	0	0	0	3
3.52	-9.72	-18.03	13.75	10.75	-14.00	316.00	-24.19	5.88	7.54	-8.79	-26.93	-4.01	-0.92	8.89	0.9046	0.1246	-0.0686	0.4018	1	0	0	3
0.22	1.41	-5.88	3.56	3.06	-22.06	317.13	9.31	-7.75	4.79	5.63	-15.78	1.66	1.56	9.53	0.9432	-0.0491	0.1268	0.3033	1	0	0	3
-8.37	39.22	-21.03	-1.75	-0.50	-23.69	348.31	0.44	-1.94	-8.45	38.88	-30.83	0.07	0.33	9.80	0.9953	0.0117	-0.0416	0.0870	1	0	0	3
4.15	-1.69	-34.13	3.69	22.25	0.75	7.44	-12.56	110.56	6.29	7.26	-30.76	-1.95	-8.64	-4.19	0.4708	0.2623	-0.8410	-0.0485	1	0	0	3
-22.15	-34.01	-14.36	-2.69	9.06	19.37	353.88	-13.50	128.75	-36.93	-31.76	-27.85	-2.29	-7.43	-5.97	0.5938	0.1952	-0.7765	0.0796	1	0	0	3
14.95	-2.54	-39.22	11.38	9.75	-18.50	341.13	6.88	-17.50	10.00	-1.60	-48.51	1.18	2.93	9.28	0.9362	-0.2073	0.2518	0.1315	0	0	0	3
1.25	0.13	-1.03	-20.75	-6.75	-10.00	6.88	54.31	-100.81	-6.71	-5.47	0.03	7.96	5.61	-1.07	0.6215	-0.6628	0.4158	-0.0385	0	0	0	3
-4.96	25.04	3.95	-22.06	-8.25	6.25	31.50	33.06	-116.94	-11.55	11.65	10.90	4.78	7.88	-3.31	0.5621	-0.5875	0.5045	-0.2905	0	0	0	3
9.38	-7.50	-39.22	-16.19	-17.25	-4.88	80.87	34.94	-16.00	3.76	-8.45	-46.94	5.62	2.21	7.72	0.6521	-0.1837	-0.2743	-0.6825	0	0	0	3
-2.08	-1.31	4.70	-9.38	20.37	-2.50	40.56	-18.62	87.37	2.21	9.10	-3.58	-3.74	-9.03	0.63	0.7062	0.4634	-0.5111	-0.1592	1	0	0	3
0.26	0.14	-5.82	14.75	18.00	2.56	328.25	-70.25	71.75	9.64	3.23	-7.43	-9.23	-3.14	1.03	0.7154	0.5583	-0.3487	0.2344	1	0	0	3
0.95	0.12	-17.19	16.56	12.06	-10.25	356.25	-43.19	20.56	6.69	2.34	-27.21	-6.50	-2.34	6.95	0.9368	0.3367	-0.0894	-0.0333	0	0	0	3
-3.56	-1.43	-11.88	10.06	2.50	-20.56	42.81	-38.31	-23.56	2.52	-4.51	-18.93	-6.08	3.07	7.04	0.8077	0.2407	0.3453	-0.4129	0	0	0	3
